id,car_number,round_id,team_driver_id
563,22,24,299
564,20,24,300
565,26,24,301
566,2,24,302
567,6,24,303
568,12,24,304
569,32,24,305
570,34,24,306
571,24,24,307
572,14,25,308
573,16,25,309
574,3,25,310
575,3,25,311
576,59,25,312
577,59,25,313
578,5,25,314
579,48,25,315
580,2,25,316
581,2,25,317
582,12,25,318
583,98,25,319
584,98,25,320
585,98,25,321
586,53,25,322
587,9,25,323
588,73,25,324
589,73,25,325
590,88,25,326
591,8,25,327
592,49,25,316
593,49,25,328
594,92,25,329
595,92,25,330
596,92,25,331
597,23,25,332
598,23,25,333
599,22,25,334
600,62,25,335
601,62,25,336
602,62,25,337
603,51,25,338
604,83,25,339
605,77,25,340
606,55,25,341
607,55,25,342
608,55,25,330
609,4,25,343
610,7,25,313
611,21,25,344
612,38,25,345
613,41,25,346
614,97,25,320
615,99,25,347
616,29,25,348
617,56,25,349
618,32,25,350
619,2,26,291
620,6,26,304
621,16,26,293
622,16,26,303
623,8,26,294
624,18,26,351
625,24,26,298
626,10,26,352
627,36,26,353
628,34,26,354
629,4,26,292
630,28,26,355
631,20,26,297
632,30,26,356
633,12,26,302
634,22,26,357
635,14,26,293
636,32,26,358
637,26,26,359
638,38,26,360
639,10,27,291
640,8,27,292
641,28,27,361
642,30,27,351
643,18,27,298
644,14,27,294
645,20,27,297
646,32,27,352
647,38,27,362
648,24,27,363
649,40,27,364
650,6,27,365
651,6,27,302
652,22,27,360
653,12,27,304
654,4,27,302
655,2,27,293
656,16,27,296
657,26,27,353
658,34,27,366
659,36,27,367
660,16,28,294
661,18,28,302
662,20,28,293
663,10,28,291
664,14,28,304
665,12,28,292
666,46,28,351
667,44,28,352
668,22,28,361
669,2,28,296
670,38,28,368
671,48,28,356
672,28,28,353
673,30,28,369
674,32,28,370
675,24,28,303
676,36,28,371
677,42,28,372
678,34,28,373
679,40,28,358
680,4,28,298
681,26,28,360
682,6,28,297
683,8,28,357
684,50,28,359
685,5,29,291
686,23,29,302
687,6,29,304
688,24,29,293
689,8,29,294
690,25,29,303
691,10,29,372
692,16,29,358
693,20,29,374
694,9,29,352
695,18,29,375
696,14,29,376
697,7,29,292
698,26,29,361
699,19,29,300
700,2,29,353
701,4,29,377
702,12,29,359
703,31,29,351
704,1,29,360
705,30,29,296
706,15,29,378
707,29,29,298
708,3,29,379
709,28,29,297
710,11,29,355
711,22,29,380
712,12,30,304
713,5,30,302
714,3,30,294
715,7,30,303
716,17,30,351
717,19,30,371
718,18,30,381
719,1,30,291
720,1,30,292
721,31,30,382
722,20,30,352
723,40,30,383
724,24,30,384
725,16,30,355
726,36,30,385
727,37,30,386
728,22,30,387
729,4,30,292
