id,reference,name,nationality,wikipedia,base_team_id,country_code
50,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk,,DEU
150,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering,,JPN
10,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,,USA
28,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor),,USA
5,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago,,FRA
180,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team),,ITA
51,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,,ITA
18,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor),,USA
169,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse,,FRA
87,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),,ZAF
102,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),,ZAF
101,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),,ZAF
151,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One),,GBR
19,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky,,USA
175,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House,,GBR
176,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team),,ITA
146,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,,FRA
81,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,,GBR
86,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
82,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
74,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
204,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,,GBR
94,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
79,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
126,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,,GBR
202,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,,MYS
138,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,,GBR
137,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars),,JPN
206,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,,GBR
119,march,March,British,http://en.wikipedia.org/wiki/March_Engineering,,GBR
125,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,,GBR
21,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor),,USA
124,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,,GBR
158,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars),,FRA
205,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,,RUS
2,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,,ITA
111,matra,Matra,French,http://en.wikipedia.org/wiki/Matra,,FRA
116,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,,FRA
78,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,,CHE
153,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),,AUS
117,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,,GBR
120,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),,GBR
112,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),,GBR
104,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,,GBR
106,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,,GBR
48,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,,DEU
156,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario,,ITA
73,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski,,USA
194,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,,RUS
24,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano,,ITA
