id,position,is_classified,status,detail,points,is_eligible_for_points,grid,time,fastest_lap_rank,laps_completed,round_entry_id,session_id
17575,6,,,,,t,,,,,16253,1835
17576,14,f,10,Spun off,0,t,19,,,10,16254,1834
17577,19,,,,,t,,,,,16254,1835
17578,15,f,11,Engine,0,t,17,,,8,16255,1834
17579,17,,,,,t,,,,,16255,1835
17580,16,f,10,Collision,0,t,1,,,0,16256,1834
17581,1,,,,,t,,,,,16256,1835
17582,17,f,10,Collision,0,t,11,,,0,16257,1834
17583,11,,,,,t,,,,,16257,1835
17584,18,f,10,Collision,0,t,12,,,0,16258,1834
17585,12,,,,,t,,,,,16258,1835
17586,19,f,30,Collision,0,t,15,,,0,16259,1834
17587,14,,,,,t,,,,,16259,1835
17671,18,,,,,t,,,,,16334,1843
17588,20,f,30,Collision,0,t,14,,,0,16260,1834
17589,15,,,,,t,,,,,16260,1835
17590,21,f,30,Collision,0,t,18,,,0,16261,1834
17591,18,,,,,t,,,,,16261,1835
17592,22,f,30,Collision,0,t,20,,,0,16262,1834
17593,20,,,,,t,,,,,16262,1835
17594,1,t,0,Finished,10,t,1,01:17:10.3,,53,16263,1836
17595,2,t,0,Finished,6,t,5,01:17:48.277,,53,16264,1836
17596,3,t,0,Finished,4,t,6,01:17:51.452,,53,16265,1836
17597,4,t,0,Finished,3,t,3,01:18:05.971,,53,16266,1836
17598,5,t,0,Finished,2,t,8,01:18:12.172,,53,16267,1836
17599,6,t,0,Finished,1,t,14,01:18:16.988,,53,16268,1836
17600,7,t,1,+1 Lap,0,t,12,,,52,16269,1836
17601,8,t,1,+1 Lap,0,t,11,,,52,16270,1836
17602,9,t,1,+1 Lap,0,t,19,,,52,16271,1836
17603,10,t,1,+1 Lap,0,t,13,,,52,16272,1836
17604,11,t,1,+2 Laps,0,t,22,,,51,16273,1836
17605,12,t,1,+2 Laps,0,t,18,,,51,16274,1836
17606,13,t,1,+3 Laps,0,t,10,,,50,16275,1836
17607,14,f,11,Gearbox,0,t,17,,,39,16276,1836
17608,15,f,10,Spun off,0,t,2,,,37,16277,1836
17609,16,f,11,Throttle,0,t,16,,,32,16278,1836
17610,17,f,11,Gearbox,0,t,7,,,24,16279,1836
17611,18,f,11,Engine,0,t,4,,,16,16280,1836
17612,19,f,11,Vibrations,0,t,9,,,15,16281,1836
17613,20,f,11,Engine,0,t,21,,,13,16282,1836
17614,21,f,10,Spun off,0,t,15,,,12,16283,1836
17615,22,f,10,Spun off,0,t,20,,,10,16284,1836
17616,1,t,0,Finished,10,t,3,01:32:14.789,,67,16285,1838
17617,2,t,0,Finished,6,t,1,01:32:17,,67,16286,1838
17618,3,t,0,Finished,4,t,5,01:32:48.952,,67,16287,1838
17619,4,t,0,Finished,3,t,2,01:33:12.971,,67,16288,1838
17620,5,t,0,Finished,2,t,7,01:33:15.036,,67,16289,1838
17621,6,t,0,Finished,1,t,4,01:33:16.148,,67,16290,1838
17622,7,t,0,Finished,0,t,8,01:33:19.578,,67,16291,1838
17623,8,t,1,+1 Lap,0,t,9,,,66,16292,1838
17624,9,t,1,+1 Lap,0,t,10,,,66,16293,1838
17625,10,t,1,+1 Lap,0,t,11,,,66,16294,1838
17626,11,t,1,+2 Laps,0,t,12,,,65,16295,1838
17627,12,t,1,+2 Laps,0,t,15,,,65,16296,1838
17628,13,t,1,+2 Laps,0,t,18,,,65,16297,1838
17629,14,t,1,+2 Laps,0,t,16,,,65,16298,1838
17630,15,t,1,+2 Laps,0,t,20,,,65,16299,1838
17631,16,t,1,+2 Laps,0,t,19,,,65,16300,1838
17632,17,f,11,Engine,0,t,21,,,56,16301,1838
17633,18,f,11,Brakes,0,t,6,,,53,16302,1838
17634,19,f,11,Engine,0,t,13,,,37,16303,1838
17635,20,f,11,Engine,0,t,22,,,36,16304,1838
17636,21,f,11,Transmission,0,t,14,,,6,16305,1838
17637,22,f,11,Hydraulics,0,t,17,,,6,16306,1838
17638,1,t,0,Finished,10,t,2,01:27:23.4,,51,16307,1840
17639,2,t,0,Finished,6,t,4,01:27:29.891,,51,16308,1840
17640,3,t,0,Finished,4,t,3,01:27:51.062,,51,16309,1840
17641,4,t,0,Finished,3,t,8,01:28:36.891,,51,16310,1840
17642,5,t,0,Finished,2,t,5,01:28:37.257,,51,16311,1840
17643,6,t,0,Finished,1,t,6,01:28:39.267,,51,16312,1840
17644,7,t,0,Finished,0,t,12,01:28:59.453,,51,16313,1840
17645,8,t,0,Finished,0,t,10,01:29:04.702,,51,16314,1840
17646,9,t,1,+1 Lap,0,t,9,,,50,16315,1840
17647,10,t,1,+1 Lap,0,t,11,,,50,16316,1840
17648,11,t,1,+1 Lap,0,t,13,,,50,16317,1840
17649,12,t,1,+3 Laps,0,t,14,,,48,16318,1840
17650,13,f,11,Throttle,0,t,20,,,40,16319,1840
17651,14,f,11,Tyre,0,t,1,,,31,16320,1840
17652,15,f,10,Collision,0,t,17,,,28,16321,1840
17653,16,f,10,Collision,0,t,21,,,28,16322,1840
17654,17,f,11,Hydraulics,0,t,16,,,25,16323,1840
17655,18,f,11,Gearbox,0,t,19,,,21,16324,1840
17656,19,f,11,Hydraulics,0,t,15,,,14,16325,1840
17657,20,f,11,Engine,0,t,7,,,13,16326,1840
17658,21,f,10,Spun off,0,t,18,,,2,16327,1840
48576,16,t,,,,t,,,,,26230,4573
17660,1,t,0,Finished,10,t,6,01:35:01.659,,57,16329,1842
17661,6,,,,,t,,,,,16329,1843
17662,2,t,0,Finished,6,t,5,01:35:02.686,,57,16330,1842
17663,5,,,,,t,,,,,16330,1843
17664,3,t,0,Finished,4,t,8,01:35:08.671,,57,16331,1842
17665,8,,,,,t,,,,,16331,1843
17666,4,t,0,Finished,3,t,7,01:35:35.077,,57,16332,1842
17667,7,,,,,t,,,,,16332,1843
17668,5,t,0,Finished,2,t,4,01:35:56.357,,57,16333,1842
17669,4,,,,,t,,,,,16333,1843
17670,6,t,0,Finished,1,t,18,01:36:25.976,,57,16334,1842
17672,7,t,0,Finished,0,t,17,01:36:27.947,,57,16335,1842
17673,17,,,,,t,,,,,16335,1843
17674,8,t,1,+1 Lap,0,t,3,,,56,16336,1842
17675,3,,,,,t,,,,,16336,1843
17676,9,f,11,Gearbox,0,t,19,,,48,16337,1842
17677,19,,,,,t,,,,,16337,1843
17678,10,f,11,Gearbox,0,t,21,,,42,16338,1842
17679,21,,,,,t,,,,,16338,1843
17680,11,f,11,Suspension,0,t,10,,,28,16339,1842
17681,10,,,,,t,,,,,16339,1843
17682,12,f,11,Transmission,0,t,14,,,27,16340,1842
17683,14,,,,,t,,,,,16340,1843
17684,13,f,10,Collision,0,t,22,,,25,16341,1842
17685,22,,,,,t,,,,,16341,1843
17686,14,f,10,Collision,0,t,12,,,25,16342,1842
17687,12,,,,,t,,,,,16342,1843
17688,15,f,11,Wheel,0,t,20,,,23,16343,1842
17689,20,,,,,t,,,,,16343,1843
17690,16,f,11,Throttle,0,t,1,,,21,16344,1842
17691,1,,,,,t,,,,,16344,1843
17692,17,f,10,Spun off,0,t,15,,,20,16345,1842
17693,15,,,,,t,,,,,16345,1843
17694,18,f,11,Hydraulics,0,t,2,,,13,16346,1842
17695,2,,,,,t,,,,,16346,1843
17696,19,f,11,Rear wing,0,t,11,,,13,16347,1842
17697,11,,,,,t,,,,,16347,1843
17698,20,f,10,Collision,0,t,9,,,0,16348,1842
17699,9,,,,,t,,,,,16348,1843
17700,21,f,11,Gearbox,0,t,16,,,0,16349,1842
17701,16,,,,,t,,,,,16349,1843
17702,22,f,30,Fire,0,t,13,,,0,16350,1842
17703,13,,,,,t,,,,,16350,1843
17704,1,t,0,Finished,10,t,1,01:36:03.785,,72,16351,1844
17705,1,,,,,t,,,,,16351,1845
17706,2,t,0,Finished,6,t,4,01:36:08.71,,72,16352,1844
17707,4,,,,,t,,,,,16352,1845
17708,3,t,11,Out of fuel,4,t,8,,,71,16353,1844
17709,8,,,,,t,,,,,16353,1845
17710,4,t,1,+1 Lap,3,t,11,,,71,16354,1844
17711,11,,,,,t,,,,,16354,1845
17712,5,t,1,+1 Lap,2,t,6,,,71,16355,1844
17713,6,,,,,t,,,,,16355,1845
17714,6,t,1,+1 Lap,1,t,12,,,71,16356,1844
17715,12,,,,,t,,,,,16356,1845
17716,7,t,1,+2 Laps,0,t,9,,,70,16357,1844
17717,9,,,,,t,,,,,16357,1845
17718,8,t,1,+3 Laps,0,t,19,,,69,16358,1844
17719,19,,,,,t,,,,,16358,1845
17720,9,t,1,+3 Laps,0,t,20,,,69,16359,1844
17721,20,,,,,t,,,,,16359,1845
17722,10,f,11,Hydraulics,0,t,17,,,52,16360,1844
17723,18,,,,,t,,,,,16360,1845
17724,11,f,11,Hydraulics,0,t,21,,,49,16361,1844
17725,21,,,,,t,,,,,16361,1845
17726,12,f,11,Gearbox,0,t,16,,,43,16362,1844
17727,16,,,,,t,,,,,16362,1845
17728,13,f,11,Engine,0,t,3,,,42,16363,1844
17729,3,,,,,t,,,,,16363,1845
17730,14,f,10,Collision,0,t,15,,,42,16364,1844
17731,15,,,,,t,,,,,16364,1845
17732,15,f,11,Clutch,0,t,5,,,38,16365,1844
17733,5,,,,,t,,,,,16365,1845
17734,16,f,10,Spun off,0,t,18,,,31,16366,1844
17735,17,,,,,t,,,,,16366,1845
17736,17,f,11,Gearbox,0,t,14,,,27,16367,1844
17737,14,,,,,t,,,,,16367,1845
17738,18,f,11,Gearbox,0,t,2,,,22,16368,1844
17739,2,,,,,t,,,,,16368,1845
17740,19,f,11,Gearbox,0,t,13,,,21,16369,1844
17741,13,,,,,t,,,,,16369,1845
17742,20,f,11,Hydraulics,0,t,10,,,15,16370,1844
17743,10,,,,,t,,,,,16370,1845
17744,21,f,10,Collision,0,t,7,,,10,16371,1844
17745,7,,,,,t,,,,,16371,1845
48577,17,t,,,,t,,,,,26225,4573
17747,1,t,0,Finished,10,t,3,01:33:44.792,,62,16373,1846
17748,3,,,,,t,,,,,16373,1847
17749,2,t,0,Finished,6,t,2,01:33:49.057,,62,16374,1846
17750,2,,,,,t,,,,,16374,1847
17751,3,t,1,+1 Lap,4,t,6,,,61,16375,1846
17752,6,,,,,t,,,,,16375,1847
17753,4,t,1,+1 Lap,3,t,8,,,61,16376,1846
17754,8,,,,,t,,,,,16376,1847
17755,5,t,1,+1 Lap,2,t,16,,,61,16377,1846
17756,16,,,,,t,,,,,16377,1847
17757,6,t,1,+1 Lap,1,t,13,,,61,16378,1846
17758,13,,,,,t,,,,,16378,1847
17759,7,t,1,+3 Laps,0,t,19,,,59,16379,1846
17760,19,,,,,t,,,,,16379,1847
17761,8,t,1,+3 Laps,0,t,22,,,59,16380,1846
17762,22,,,,,t,,,,,16380,1847
17763,9,t,1,+3 Laps,0,t,21,,,59,16381,1846
17764,21,,,,,t,,,,,16381,1847
17765,10,t,11,Engine,0,t,12,,,58,16382,1846
17766,12,,,,,t,,,,,16382,1847
17767,11,t,10,Spun off,0,t,10,,,58,16383,1846
17768,10,,,,,t,,,,,16383,1847
17769,12,f,10,Spun off,0,t,15,,,49,16384,1846
17770,15,,,,,t,,,,,16384,1847
48578,18,t,,,,t,,,,,26237,4573
17771,13,f,11,Throttle,0,t,11,,,48,16385,1846
17772,11,,,,,t,,,,,16385,1847
17773,14,f,11,Engine,0,t,4,,,46,16386,1846
17774,4,,,,,t,,,,,16386,1847
17775,15,f,10,Spun off,0,t,7,,,46,16387,1846
17776,7,,,,,t,,,,,16387,1847
17777,16,f,11,Fuel pressure,0,t,20,,,29,16388,1846
17778,20,,,,,t,,,,,16388,1847
17779,17,f,11,Throttle,0,t,9,,,28,16389,1846
17780,9,,,,,t,,,,,16389,1847
17781,18,f,10,Spun off,0,t,1,,,17,16390,1846
17782,1,,,,,t,,,,,16390,1847
17783,19,f,10,Spun off,0,t,18,,,5,16391,1846
17784,18,,,,,t,,,,,16391,1847
17785,20,f,10,Spun off,0,t,17,,,5,16392,1846
17786,17,,,,,t,,,,,16392,1847
17787,21,f,11,Gearbox,0,t,14,,,0,16393,1846
17788,5,,,,,t,,,,,16393,1847
17789,22,f,10,Spun off,0,t,5,,,0,16394,1846
17790,14,,,,,t,,,,,16394,1847
17791,1,t,0,Finished,10,t,2,01:49:31.812,,78,16395,1848
17792,2,t,0,Finished,6,t,4,01:50:02.288,,78,16396,1848
17793,3,t,0,Finished,4,t,1,01:50:09.295,,78,16397,1848
17794,4,t,0,Finished,3,t,6,01:50:25.821,,78,16398,1848
17795,5,t,1,+1 Lap,2,t,9,,,77,16399,1848
17796,6,t,1,+1 Lap,1,t,10,,,77,16400,1848
17797,7,t,1,+1 Lap,0,t,7,,,77,16401,1848
17798,8,t,1,+2 Laps,0,t,11,,,76,16402,1848
17799,9,t,10,Spun off,0,t,5,,,71,16403,1848
17800,10,f,10,Spun off,0,t,16,,,54,16404,1848
17801,11,f,11,Suspension,0,t,14,,,50,16405,1848
17802,12,f,11,Suspension,0,t,15,,,49,16406,1848
17803,13,f,11,Engine,0,t,18,,,40,16407,1848
17804,14,f,11,Gearbox,0,t,3,,,36,16408,1848
17805,15,f,11,Brakes,0,t,12,,,36,16409,1848
17806,16,f,11,Engine,0,t,19,,,36,16410,1848
17807,17,f,11,Oil leak,0,t,8,,,32,16411,1848
17808,18,f,11,Suspension,0,t,13,,,32,16412,1848
17809,19,f,11,Gearbox,0,t,21,,,30,16413,1848
17810,20,f,10,Spun off,0,t,22,,,24,16414,1848
17811,21,f,11,Gearbox,0,t,20,,,10,16415,1848
17812,22,f,10,Collision,0,t,17,,,3,16416,1848
17813,1,t,0,Finished,10,t,1,01:34:13.665,,65,16417,1850
17814,2,t,0,Finished,6,t,3,01:34:19.903,,65,16418,1850
17815,3,t,0,Finished,4,t,4,01:34:24.51,,65,16419,1850
17816,4,t,0,Finished,3,t,2,01:34:43.847,,65,16420,1850
17817,5,t,0,Finished,2,t,10,01:35:40.873,,65,16421,1850
17818,6,t,1,+1 Lap,1,t,9,,,64,16422,1850
17819,7,t,1,+1 Lap,0,t,11,,,64,16423,1850
17820,8,t,1,+1 Lap,0,t,16,,,64,16424,1850
17821,9,t,1,+1 Lap,0,t,13,,,64,16425,1850
17822,10,t,1,+1 Lap,0,t,18,,,64,16426,1850
17823,11,t,1,+2 Laps,0,t,19,,,63,16427,1850
17824,12,t,1,+3 Laps,0,t,20,,,62,16428,1850
17825,13,f,10,Spun off,0,t,22,,,50,16429,1850
17826,14,f,11,Gearbox,0,t,6,,,40,16430,1850
17827,15,f,11,Transmission,0,t,12,,,40,16431,1850
17828,16,f,11,Transmission,0,t,14,,,40,16432,1850
17829,17,f,11,Halfshaft,0,t,8,,,35,16433,1850
17830,18,f,11,Transmission,0,t,5,,,27,16434,1850
17831,19,f,11,Gearbox,0,t,17,,,24,16435,1850
17832,20,f,11,Gearbox,0,t,15,,,24,16436,1850
17833,21,f,11,Gearbox,0,t,21,,,0,16437,1850
17834,22,f,20,Disqualified,0,t,7,,,64,16438,1850
17835,1,t,0,Finished,10,t,2,01:41:35.727,,69,16439,1852
17836,2,t,0,Finished,6,t,7,01:41:36.509,,69,16440,1852
17837,3,t,0,Finished,4,t,3,01:41:37.524,,69,16441,1852
17838,4,t,0,Finished,3,t,13,01:41:38.119,,69,16442,1852
17839,5,t,0,Finished,2,t,10,01:41:38.532,,69,16443,1852
17840,6,t,0,Finished,1,t,18,01:41:39.438,,69,16444,1852
17841,7,t,0,Finished,0,t,4,01:41:40.731,,69,16445,1852
17842,8,t,1,+1 Lap,0,t,22,,,68,16446,1852
17843,9,t,1,+1 Lap,0,t,15,,,68,16447,1852
17844,10,t,1,+2 Laps,0,t,21,,,67,16448,1852
17845,11,t,11,Brakes,0,t,6,,,65,16449,1852
17846,12,f,11,Brakes,0,t,12,,,50,16450,1852
17847,13,f,11,Transmission,0,t,19,,,41,16451,1852
17848,14,f,10,Spun off,0,t,16,,,34,16452,1852
17849,15,f,10,Spun off,0,t,1,,,29,16453,1852
17850,16,f,11,Transmission,0,t,20,,,22,16454,1852
17851,17,f,10,Spun off,0,t,14,,,14,16455,1852
17852,18,f,11,Steering,0,t,5,,,14,16456,1852
17853,19,f,10,Spun off,0,t,17,,,2,16457,1852
17854,20,f,10,Collision,0,t,8,,,0,16458,1852
17855,21,f,10,Collision,0,t,9,,,0,16459,1852
17856,22,f,11,Transmission,0,t,11,,,0,16460,1852
17857,1,t,0,Finished,10,t,5,01:58:24.343,,72,16461,1854
17858,2,t,0,Finished,6,t,14,01:58:35.435,,72,16462,1854
17859,3,t,0,Finished,4,t,1,01:59:07.775,,72,16463,1854
17860,4,t,0,Finished,3,t,16,01:59:09.818,,72,16464,1854
17861,5,t,0,Finished,2,t,6,01:59:12.224,,72,16465,1854
17862,6,t,0,Finished,1,t,17,01:59:13.244,,72,16466,1854
17863,7,t,0,Finished,0,t,8,01:59:22.114,,72,16467,1854
17864,8,t,0,Finished,0,t,3,01:59:22.874,,72,16468,1854
17865,9,t,0,Finished,0,t,10,01:59:53.107,,72,16469,1854
17866,10,t,1,+1 Lap,0,t,20,,,71,16470,1854
17867,11,t,1,+1 Lap,0,t,21,,,71,16471,1854
17868,12,f,10,Spun off,0,t,7,,,42,16472,1854
17869,13,f,11,Electrical,0,t,18,,,31,16473,1854
17870,14,f,11,Engine,0,t,15,,,26,16474,1854
17871,15,f,10,Spun off,0,t,12,,,25,16475,1854
17872,16,f,10,Spun off,0,t,13,,,25,16476,1854
17873,17,f,10,Spun off,0,t,19,,,25,16477,1854
17874,18,f,10,Spun off,0,t,2,,,24,16478,1854
17875,19,f,11,Electrical,0,t,4,,,9,16479,1854
17876,20,f,11,Transmission,0,t,11,,,6,16480,1854
17877,21,f,11,Gearbox,0,t,9,,,4,16481,1854
17878,22,f,20,Disqualified,0,t,22,,,71,16482,1854
17879,1,t,0,Finished,10,t,3,01:32:30.144,,60,16483,1856
17880,2,t,0,Finished,6,t,4,01:32:31.973,,60,16484,1856
17881,3,t,0,Finished,4,t,8,01:32:57.555,,60,16485,1856
17882,4,t,0,Finished,3,t,5,01:32:57.933,,60,16486,1856
17883,5,t,0,Finished,2,t,6,01:33:08.75,,60,16487,1856
17884,6,t,0,Finished,1,t,12,01:33:23.787,,60,16488,1856
17885,7,t,0,Finished,0,t,17,01:33:24.758,,60,16489,1856
17886,8,t,0,Finished,0,t,7,01:33:38.734,,60,16490,1856
17887,9,t,0,Finished,0,t,14,01:33:42.189,,60,16491,1856
17888,10,t,0,Finished,0,t,18,01:33:42.267,,60,16492,1856
17889,11,t,0,Finished,0,t,13,01:33:47.268,,60,16493,1856
17890,12,t,0,Finished,0,t,11,01:33:47.853,,60,16494,1856
17891,13,t,0,Finished,0,t,15,01:33:50.636,,60,16495,1856
17892,14,t,1,+1 Lap,0,t,10,,,59,16496,1856
17893,15,t,1,+2 Laps,0,t,22,,,58,16497,1856
17894,16,t,1,+2 Laps,0,t,19,,,58,16498,1856
17895,17,f,11,Suspension,0,t,16,,,41,16499,1856
17896,18,f,11,Wheel,0,t,1,,,35,16500,1856
17897,19,f,11,Halfshaft,0,t,9,,,29,16501,1856
17898,20,f,11,Gearbox,0,t,21,,,6,16502,1856
17899,21,f,11,Gearbox,0,t,20,,,0,16503,1856
17900,22,f,11,Brakes,0,t,2,,,0,16504,1856
17901,1,t,0,Finished,10,t,3,01:28:12.438,,71,16505,1858
17902,2,t,0,Finished,6,t,2,01:28:12.751,,71,16506,1858
17903,3,t,0,Finished,4,t,1,01:28:34.72,,71,16507,1858
17904,4,t,0,Finished,3,t,4,01:29:05.241,,71,16508,1858
17905,5,t,0,Finished,2,t,10,01:29:18.796,,71,16509,1858
17906,6,t,0,Finished,1,t,16,01:29:23.371,,71,16510,1858
17907,7,t,1,+1 Lap,0,t,13,,,70,16511,1858
17908,8,t,1,+1 Lap,0,t,11,,,70,16512,1858
17909,9,t,1,+1 Lap,0,t,7,,,70,16513,1858
17910,10,t,1,+1 Lap,0,t,18,,,70,16514,1858
17911,11,t,1,+1 Lap,0,t,22,,,70,16515,1858
17912,12,t,11,Engine,0,t,12,,,68,16516,1858
17913,13,t,1,+3 Laps,0,t,19,,,68,16517,1858
17914,14,t,1,+4 Laps,0,t,6,,,67,16518,1858
17915,15,t,11,Clutch,0,t,15,,,63,16519,1858
17916,16,f,11,Engine,0,t,5,,,55,16520,1858
17917,17,f,11,Out of fuel,0,t,17,,,49,16521,1858
17918,18,f,10,Spun off,0,t,21,,,38,16522,1858
17919,19,f,11,Out of fuel,0,t,14,,,35,16523,1858
17920,20,f,11,Halfshaft,0,t,9,,,34,16524,1858
17921,21,f,11,Engine,0,t,20,,,25,16525,1858
17922,22,f,10,Spun off,0,t,8,,,8,16526,1858
17923,1,t,0,Finished,10,t,5,01:21:58.594,,45,16527,1860
17924,2,t,0,Finished,6,t,4,01:21:59.601,,45,16528,1860
17925,3,t,0,Finished,4,t,2,01:22:03.789,,45,16529,1860
17926,4,t,0,Finished,3,t,11,01:22:11.403,,45,16530,1860
17927,5,t,0,Finished,2,t,3,01:22:15.417,,45,16531,1860
17928,6,t,0,Finished,1,t,7,01:22:28.473,,45,16532,1860
17929,7,t,0,Finished,0,t,13,01:22:31.927,,45,16533,1860
17930,8,t,0,Finished,0,t,21,01:23:09.885,,45,16534,1860
17931,9,t,0,Finished,0,t,15,01:23:46.912,,45,16535,1860
17932,10,t,1,+1 Lap,0,t,19,,,44,16536,1860
17933,11,t,11,Gearbox,0,t,17,,,40,16537,1860
17934,12,f,10,Spun off,0,t,20,,,37,16538,1860
17935,13,f,11,Tyre,0,t,1,,,25,16539,1860
17936,14,f,11,Differential,0,t,14,,,21,16540,1860
17937,15,f,11,Engine,0,t,18,,,20,16541,1860
17938,16,f,11,Engine,0,t,22,,,15,16542,1860
17939,17,f,11,Brakes,0,t,8,,,13,16543,1860
17940,18,f,11,Engine,0,t,9,,,10,16544,1860
17941,19,f,11,Suspension,0,t,10,,,7,16545,1860
17942,20,f,11,Hydraulics,0,t,6,,,6,16546,1860
17943,21,f,10,Collision,0,t,12,,,0,16547,1860
17944,22,f,10,Collision,0,t,16,,,0,16548,1860
17945,1,t,0,Finished,10,t,1,01:46:23.536,,77,16549,1862
17946,2,t,0,Finished,6,t,3,01:46:33.242,,77,16550,1862
17947,3,t,0,Finished,4,t,2,01:46:50.764,,77,16551,1862
17948,4,t,0,Finished,3,t,5,01:46:55.351,,77,16552,1862
17949,5,t,0,Finished,2,t,8,01:47:07.344,,77,16553,1862
17950,6,t,0,Finished,1,t,6,01:47:19.262,,77,16554,1862
17951,7,t,0,Finished,0,t,7,01:47:24.548,,77,16555,1862
17952,8,t,1,+1 Lap,0,t,13,,,76,16556,1862
17953,9,t,1,+1 Lap,0,t,16,,,76,16557,1862
17954,10,t,1,+1 Lap,0,t,14,,,76,16558,1862
17955,11,t,1,+1 Lap,0,t,10,,,76,16559,1862
17956,12,t,1,+2 Laps,0,t,18,,,75,16560,1862
17957,13,t,1,+2 Laps,0,t,17,,,75,16561,1862
17958,14,t,1,+2 Laps,0,t,19,,,75,16562,1862
17959,15,t,1,+2 Laps,0,t,20,,,75,16563,1862
17960,16,t,11,Fuel pressure,0,t,11,,,74,16564,1862
17961,17,t,1,+3 Laps,0,t,22,,,74,16565,1862
17962,18,f,11,Clutch,0,t,9,,,60,16566,1862
17963,19,f,11,Engine,0,t,4,,,52,16567,1862
17964,20,f,11,Transmission,0,t,21,,,26,16568,1862
17965,21,f,10,Spun off,0,t,12,,,19,16569,1862
17966,22,f,11,Differential,0,t,15,,,10,16570,1862
17967,1,t,0,Finished,10,t,2,01:25:43.057,,44,16571,1864
17968,2,t,0,Finished,6,t,1,01:25:53.526,,44,16572,1864
17969,3,t,0,Finished,4,t,3,01:26:16.49,,44,16573,1864
17970,4,t,0,Finished,3,t,6,01:26:28.005,,44,16574,1864
17971,5,t,0,Finished,2,t,5,01:26:31.124,,44,16575,1864
17972,6,t,0,Finished,1,t,4,01:26:37.973,,44,16576,1864
17973,7,t,0,Finished,0,t,9,01:26:39.306,,44,16577,1864
17974,8,t,0,Finished,0,t,8,01:26:50.079,,44,16578,1864
17975,9,t,0,Finished,0,t,16,01:26:56.905,,44,16579,1864
17976,10,t,0,Finished,0,t,7,01:27:03.799,,44,16580,1864
17977,11,t,0,Finished,0,t,13,01:27:15.252,,44,16581,1864
17978,12,t,0,Finished,0,t,12,01:27:19.211,,44,16582,1864
17979,13,t,0,Finished,0,t,17,01:27:24.6,,44,16583,1864
17980,14,t,0,Finished,0,t,15,01:27:40.802,,44,16584,1864
17981,15,t,1,+1 Lap,0,t,11,,,43,16585,1864
17982,16,t,1,+1 Lap,0,t,21,,,43,16586,1864
17983,17,f,11,Transmission,0,t,22,,,35,16587,1864
17984,18,f,11,Suspension,0,t,20,,,33,16588,1864
17985,19,f,11,Gearbox,0,t,14,,,33,16589,1864
17986,20,f,11,Brakes,0,t,10,,,27,16590,1864
17987,21,f,10,Spun off,0,t,18,,,19,16591,1864
17988,22,f,11,Clutch,0,t,19,,,0,16592,1864
17989,1,t,0,Finished,10,t,2,01:17:02.923,,53,16593,1866
17990,2,t,0,Finished,6,t,5,01:17:06.195,,53,16594,1866
17991,3,t,0,Finished,4,t,6,01:17:14.855,,53,16595,1866
17992,4,t,0,Finished,3,t,7,01:17:20.553,,53,16596,1866
17993,5,t,0,Finished,2,t,3,01:17:21.065,,53,16597,1866
17994,6,t,0,Finished,1,t,8,01:17:30.325,,53,16598,1866
17995,7,t,0,Finished,0,t,4,01:17:30.97,,53,16599,1866
17996,8,t,0,Finished,0,t,11,01:17:44.72,,53,16600,1866
17997,9,t,0,Finished,0,t,13,01:17:45.121,,53,16601,1866
17998,10,t,0,Finished,0,t,9,01:17:59.182,,53,16602,1866
17999,11,t,11,Engine,0,t,10,,,52,16603,1866
18000,12,f,11,Clutch,0,t,15,,,40,16604,1866
18001,13,f,10,Spun off,0,t,22,,,35,16605,1866
18002,14,f,30,Withdrew,0,t,21,,,35,16606,1866
18003,15,f,10,Spun off,0,t,1,,,29,16607,1866
18004,16,f,11,Overheating,0,t,12,,,29,16608,1866
18005,17,f,11,Wheel bearing,0,t,18,,,25,16609,1866
18006,18,f,10,Collision,0,t,19,,,23,16610,1866
18007,19,f,11,Electrical,0,t,14,,,11,16611,1866
18008,20,f,10,Spun off,0,t,16,,,1,16612,1866
18009,21,f,10,Spun off,0,t,17,,,1,16613,1866
18010,22,f,10,Collision,0,t,20,,,0,16614,1866
18011,1,t,0,Finished,10,t,14,01:41:54.314,,66,16615,1868
18012,2,t,0,Finished,6,t,10,01:42:16.933,,66,16616,1868
18097,11,f,11,Engine,0,t,21,,,46,16691,1874
18013,3,t,0,Finished,4,t,15,01:42:17.18,,66,16617,1868
18014,4,t,0,Finished,3,t,4,01:42:33.822,,66,16618,1868
18015,5,t,0,Finished,2,t,3,01:42:57.264,,66,16619,1868
18016,6,t,0,Finished,1,t,20,01:42:59.468,,66,16620,1868
18017,7,t,0,Finished,0,t,9,01:43:00.997,,66,16621,1868
18018,8,t,1,+1 Lap,0,t,17,,,65,16622,1868
18019,9,t,1,+1 Lap,0,t,5,,,65,16623,1868
18020,10,t,11,Clutch,0,t,8,,,61,16624,1868
18021,11,f,11,Gearbox,0,t,19,,,53,16625,1868
18022,12,f,11,Gearbox,0,t,22,,,52,16626,1868
18023,13,f,10,Spun off,0,t,6,,,48,16627,1868
18024,14,f,11,Brakes,0,t,12,,,44,16628,1868
18025,15,f,10,Spun off,0,t,21,,,42,16629,1868
18026,16,f,10,Spun off,0,t,2,,,37,16630,1868
18027,17,f,11,Halfshaft,0,t,16,,,35,16631,1868
18028,18,f,11,Electrical,0,t,1,,,32,16632,1868
18029,19,f,10,Collision,0,t,18,,,10,16633,1868
